timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743615309929,87,Requête HTTP,201,Created,TestCreateUserSet 1-269,text,true,,1109,220,281,281,https://reqres.in/api/users%20,74,0,22
1743615309882,138,Requête HTTP,201,Created,TestCreateUserSet 1-266,text,true,,1110,220,281,281,https://reqres.in/api/users%20,104,0,41
1743615309884,137,Requête HTTP,201,Created,TestCreateUserSet 1-267,text,true,,1110,220,281,281,https://reqres.in/api/users%20,137,0,68
1743615309932,93,Requête HTTP,201,Created,TestCreateUserSet 1-272,text,true,,1108,220,281,281,https://reqres.in/api/users%20,93,0,34
1743615309929,101,Requête HTTP,201,Created,TestCreateUserSet 1-268,text,true,,1109,220,281,281,https://reqres.in/api/users%20,101,0,38
1743615306376,3650,Requête HTTP,201,Created,TestCreateUserSet 1-24,text,true,,1111,220,279,279,https://reqres.in/api/users%20,3113,0,3011
1743615309123,922,Requête HTTP,201,Created,TestCreateUserSet 1-246,text,true,,1113,220,281,281,https://reqres.in/api/users%20,391,0,37
1743615309940,107,Requête HTTP,201,Created,TestCreateUserSet 1-270,text,true,,1109,220,281,281,https://reqres.in/api/users%20,107,0,46
1743615309879,176,Requête HTTP,201,Created,TestCreateUserSet 1-262,text,true,,1108,220,276,276,https://reqres.in/api/users%20,104,0,31
1743615309972,98,Requête HTTP,201,Created,TestCreateUserSet 1-273,text,true,,1109,220,275,275,https://reqres.in/api/users%20,98,0,28
1743615309976,99,Requête HTTP,201,Created,TestCreateUserSet 1-274,text,true,,1109,220,275,275,https://reqres.in/api/users%20,99,0,34
1743615309988,89,Requête HTTP,201,Created,TestCreateUserSet 1-275,text,true,,1109,220,275,275,https://reqres.in/api/users%20,89,0,28
1743615309990,88,Requête HTTP,201,Created,TestCreateUserSet 1-278,text,true,,1109,220,275,275,https://reqres.in/api/users%20,88,0,35
1743615309992,103,Requête HTTP,201,Created,TestCreateUserSet 1-279,text,true,,1108,220,276,276,https://reqres.in/api/users%20,103,0,43
